metric,node,pod,namespace,container,timestamp,value
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398885,0.0004663116542994326
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398900,0.0004541517683943445
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398915,0.00046855414101846827
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398930,0.00044836201220705633
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398945,0.0004629247566439091
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398960,0.0005007391713106147
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398975,0.0005231845266888138
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398990,0.0005001931116727567
cpu,minikube,kube-proxy-fshvh,kube-system,,1780399005,0.0005083400722410942
cpu,minikube,kube-proxy-fshvh,kube-system,,1780399020,0.00048665102870342126
cpu,minikube,kube-proxy-fshvh,kube-system,,1780399035,0.0004995716615588682
cpu,minikube,kube-proxy-fshvh,kube-system,,1780399050,0.0004951544012262487
cpu,minikube,kube-proxy-fshvh,kube-system,,1780399065,0.0004916897506925241
cpu,minikube,kube-proxy-fshvh,kube-system,,1780399080,0.0004723979887704055
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395480,0.0011275308772300205
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395495,0.001119420901259705
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395510,0.0010929409811800987
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395525,0.0011245021389585498
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395540,0.0011379777810572706
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395555,0.0011107873277262303
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395570,0.0011763791763791795
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395585,0.0012141770768730983
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395600,0.0012027476899025764
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395615,0.0012073675627058305
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395630,0.0010972758931570294
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395645,0.0011233242632805107
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395660,0.0011187636420330583
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395675,0.0011374209065942822
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395690,0.001172361507071387
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395705,0.0011728690144076062
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395720,0.0011632779451816635
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395735,0.0011661900393892025
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395750,0.0011429235633252741
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395765,0.0011204025270135007
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395780,0.0011259958314875226
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395795,0.0011304537210265451
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395810,0.0010896672248312449
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395825,0.0012045625969019328
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395840,0.0012209969527548306
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395855,0.0012031849160233723
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395870,0.001169067215363513
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395885,0.0011526081868180134
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395900,0.001158302747691804
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395915,0.0011733855240919568
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395930,0.001165632515126659
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395945,0.0012010608245658701
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395960,0.001172230352949183
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395975,0.0011772338229399815
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780395990,0.0011046593434475105
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396005,0.0011498330848567426
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396020,0.001102255700789978
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396035,0.001154894622949419
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396050,0.001164265644597345
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396065,0.001229336818033324
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396080,0.0012166523405260836
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396095,0.001234206995133606
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396110,0.0010799198821717713
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396125,0.001080406751587602
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396140,0.0010771012215932208
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396155,0.0010854409644869614
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396170,0.0011041176242222327
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396185,0.0010636935259081765
